year,pbd,avg_tmp_prevdec,avg_tmp_jan,avg_tmp_feb,avg_tmp_mar,precip_prevdec,precip_jan,precip_feb,precip_mar,snow_prevdec,snow_jan,snow_feb,snow_mar,first_frost_to_jan1
1978,102,38.0,32.4,31.4,44.3,4.86,7.11,0.42,4.48,0.2,10.3,3.8,8.3,48
1979,92,43.1,35.1,28.4,51.5,4.0,6.64,5.62,2.45,0.05,4,30.6,0.05,22
1980,97,43.7,37.2,36.1,46.2,0.85,2.85,1.16,5.04,0.05,8.6,5.1,6.1,32
1981,93,39.7,33.0,43.6,47.6,0.65,0.38,2.82,1.49,0.3,4.2,0.05,0.05,18
1982,97,38.4,28.1,38.3,45.6,2.8,2.27,3.33,2.64,1.7,15.3,5.3,0.2,39
1983,97,45.5,38.1,38.7,48.7,1.74,1.69,3.09,4.84,6.6,0.05,21,0,56
1984,94,36.0,32.2,43.8,41.8,5.91,1.71,3.43,6.14,0.05,6.5,0.05,1.8,30
1985,97,45.6,30.7,37.8,47.7,1.19,2.11,3.07,1.88,0.3,10,0.05,0.05,42
1986,92,36.4,35.3,35.3,47.4,0.68,2.38,3.49,0.74,0.7,1.8,12.9,0.05,30
1987,87,39.7,34.7,37.0,47.7,4.98,4.9,2.11,1.54,0.05,20.8,10.3,0.05,49
1988,91,41.5,31.0,37.3,47.2,2.57,3.14,2.52,2.27,0.05,13.1,0.05,0.4,51
1989,88,38.7,39.8,37.8,46.1,1.3,2.49,2.8,4.3,1.2,2.9,1.2,0.4,37
1990,74,27.9,43.6,45.2,50.2,2.1,2.95,1.3,2.57,9,0.2,0.05,2.4,44
1991,88,44.5,38.5,43.0,48.8,4.73,2.9,0.83,4.42,3,4.8,0.3,0.05,43
1992,98,42.3,38.2,41.2,45.0,5.07,2.78,2.23,3.48,0,4,2.6,0.05,58
1993,101,39.6,39.7,34.3,42.2,2.86,2.9,2.27,6.82,1,0.05,4.1,6.6,73
1994,95,38.1,28.8,36.3,45.4,4.38,4.28,4.2,8.45,2.6,3.5,3.1,4,60
1995,92,44.2,39.5,34.3,49.1,2.35,3.22,1.71,2.14,0,3.9,5.8,0.4,38
1996,95,35.6,32.8,37.2,42.9,2.17,5.01,1.99,3.6,1.3,23.8,15.2,5.2,57
1997,85,43.0,37.0,44.7,48.7,5.51,2.55,2.43,4.15,0.2,2.3,4,0.05,50
1998,86,41.0,43.0,43.4,46.9,1.74,5.43,5.23,5.4,0.1,0.05,0.05,0.05,46
1999,95,44.4,38.1,40.9,44.5,1.74,5.42,2.54,3.87,0.5,2.2,0.2,8.7,57
2000,77,42.0,35.8,42.4,51.7,2.49,3.66,2.06,3.98,0.05,14.5,0.9,0,44
2001,96,31.8,35.5,40.9,43.7,2.01,2.22,1.83,3.88,2,2.4,2.8,0.2,46
2002,92,45.5,41.6,42.6,47.6,1.53,1.32,0.47,3.37,0,2.7,0.5,0,10
2003,92,37.2,31.1,33.6,47.1,4.45,2.41,6.98,4.2,7.1,4.5,28.7,0.1,35
2004,91,39.2,30.5,38.1,48.8,4.32,1.35,2.28,2.09,6.2,6.2,0.05,0.05,52
2005,99,40.0,36.0,39.6,43.0,3.05,3.31,1.63,4.46,0.1,6.4,5.2,0.8,28
2006,89,36.4,43.0,38.6,47.9,3.34,3.25,2.46,0.05,4.8,0.05,8.8,0.05,45
2007,91,44.2,40.7,30.9,47.7,1.56,2.46,2.22,3.19,0.05,1.3,5.9,1.9,58
2008,86,41.8,40.0,41.0,49.0,3.28,1.37,4.17,2.8,2.6,1.3,1,0,38
2009,91,40.3,31.6,39.8,45.2,2.97,2.68,0.35,1.97,0.05,1.9,0.1,5.5,44
2010,90,37.9,35.3,34.2,51.2,6.79,1.56,2.72,3.55,16.6,7.4,32.1,0.05,26
2011,88,34.6,33.6,41.7,45.6,1.78,2.25,2.12,4.4,2.1,7.3,0.5,0.2,33
2012,80,45.0,40.7,44.3,56.8,4.9,2.19,2.33,1.02,0.05,1.7,0.3,0.05,22
2013,99,45.4,40.3,38.3,43.8,3.03,2.53,1.67,2.8,0.2,0.9,0.4,1.6,36
2014,100,42.3,32.2,37.8,42.9,5.53,2.58,4.02,4.26,1.5,6.6,11.2,12.7,49
2015,100,43.7,35.6,30.3,45.3,3.5,3.73,1.68,4.04,0.05,3.6,9.8,4.9,47
2016,85,51.2,34.9,39.9,53.5,4.84,2.68,3.79,1.16,0,18.8,3.1,0.3,39
2017,84,41.8,42.1,47.7,47.2,2.61,2.75,0.68,3.19,0.05,1.4,0.05,2,39
2018,95,39.2,35.7,45.3,43.6,0.5,0.94,4.79,1.92,1.9,1.2,0.2,4.5,52
2019,91,43.5,37.2,42.2,46.8,5.82,3.3,3.52,4.0,0,11.5,3.7,0.3,51
2020,80,42.1,42.4,43.8,53.2,3.28,2.79,3.21,2.31,0.4,0.2,0.05,0,53
2021,87,41.4,38.6,37.8,51.2,4.96,1.93,4.66,3.8,0.05,2.6,2.8,0,43
2022,80,47.6,34.6,42.6,50.4,0.63,3.68,2.33,2.77,0,12.3,0.05,0.9,39
2023,82,40.1,45.2,46.7,49.1,3.86,1.65,2.08,1.6,0.05,0.05,0.4,0.05,44
2024,77,45.5,39.8,44.4,51.9,6.43,5.88,1.41,4.89,0.1,7.8,0.1,0.05,34
