Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1999,38.1,40.9,44.5,56.5,67.3,74.7,83,79.6,70,57.1,53.1,42,58.9
2000,35.8,42.4,51.7,55.6,67.8,74.7,74.6,75.1,67.6,60.1,46.6,31.8,57
2001,35.5,40.9,43.7,57.6,65.9,75.2,75.2,78.9,68.9,59.7,54.8,45.5,58.5
2002,41.6,42.6,47.6,60,65.2,76.1,80.9,81.1,73,58.6,47.1,37.2,59.3
2003,31.1,33.6,47.1,55.1,61.7,71.3,77.7,78.8,70.5,57.5,53.1,39.2,56.4
2004,30.5,38.1,48.8,57.4,71.8,73.4,78.5,75.9,71.6,58.3,51,40,57.9
2005,36,39.6,43,57.3,61.9,75.7,80.5,80.1,75,60.4,50.2,36.4,58
2006,43,38.6,47.9,59.5,65.1,74.5,80.4,80.5,67.8,57.3,50.7,44.2,59.1
2007,40.7,30.9,47.7,53.6,67.8,76.1,79.2,79.7,72.9,67,49.8,41.8,58.9
2008,40,41,49,58.9,64.7,77.9,80.7,77.9,74,58.9,46.6,40.3,59.2
2009,31.6,39.8,45.2,57,65.5,73.7,76.9,79.8,70.2,58.5,52.2,37.9,57.4
2010,35.3,34.2,51.2,60.8,69.3,80.6,83.1,80.1,75.5,61.5,50.5,34.6,59.7
2011,33.6,41.7,45.6,58.8,68.3,78.8,84.5,79.9,71.3,58.4,52.4,45,59.9
2012,40.7,44.3,56.8,58.3,71.4,76.3,84,81,72.2,61,46.6,45.4,61.5
2013,40.3,38.3,43.8,58.9,66.7,76.5,81.2,77.1,71.3,62.4,46.6,42.3,58.8
2014,32.2,37.8,42.9,57.3,68.5,77.2,79.4,77.7,73.8,62.9,48,43.7,58.5
2015,35.6,30.3,45.3,59.4,73.2,78.1,81.5,79.3,74.9,58.9,53.7,51.2,60.1
2016,34.9,39.9,53.5,56.9,63.9,76.2,82.7,82.7,76,63.1,52.6,41.8,60.4
2017,42.1,47.7,47.2,63.8,65.5,77.3,81.7,77.4,72.5,64.9,49.8,39.2,60.8
2018,35.7,45.3,43.6,54.9,72.4,76.2,80.7,81,75.5,62.6,46.5,43.5,59.8
2019,37.2,42.2,46.8,62.4,71,76.4,82.1,80.1,76.5,64.1,46.1,42.1,60.6
2020,42.4,43.8,53.2,55.3,63.8,77,83.9,79.6,70.2,61.9,54.3,41.4,60.6
2021,38.6,37.8,51.2,58.2,66.1,76.6,80.9,80.9,73.2,66.3,47.9,47.6,60.4
2022,34.6,42.6,50.4,57,67.8,76,81.1,80.4,72.7,58.2,52.6,40.1,59.5
2023,45.2,46.7,49.1,62.1,65,74.1,81.6,78.7,73.4,63.1,49.6,45.5,61.2
2024,39.8,44.4,51.9,60.5,69.3,79.7,83.7,79.3,72.5,63,55.2,41.9,61.8
